run_id,strategy,duration_sec,duration_human,ok,scored,score_present,failure_category,missing_score_reason,exit_code
run_001,direct_json_ir_no_translate,50.67,50.7s,True,True,True,completed,,0
run_002,direct_json_ir_no_translate,73.63,1.2m,True,True,True,completed,,0
run_003,direct_json_ir_no_translate,55.73,55.7s,False,False,False,law_compilation,law_compilation_failed,1
run_004,direct_json_ir_no_translate,56.69,56.7s,False,True,True,completed_with_errors,,0
run_005,direct_json_ir_no_translate,68.68,1.1m,True,True,True,completed,,0
run_006,direct_json_ir_no_translate,46.34,46.3s,True,True,True,completed,,0
run_007,direct_json_ir_no_translate,38.68,38.7s,True,True,True,completed,,0
run_008,direct_json_ir_no_translate,61.23,1.0m,True,True,True,completed,,0
run_009,direct_json_ir_no_translate,38.08,38.1s,True,True,True,completed,,0
run_101,direct_json_ir_no_translate,26.8,26.8s,True,True,True,completed,,0
run_102,direct_json_ir_no_translate,63.34,1.1m,False,True,True,completed_with_errors,,0
run_103,direct_json_ir_no_translate,23.93,23.9s,True,True,True,completed,,0
run_104,direct_json_ir_no_translate,38.69,38.7s,True,True,True,completed,,0
run_105,direct_json_ir_no_translate,24.1,24.1s,True,True,True,completed,,0
run_106,direct_json_ir_no_translate,26.89,26.9s,True,True,True,completed,,0
run_107,direct_json_ir_no_translate,102.85,1.7m,True,True,True,completed,,0
run_108,direct_json_ir_no_translate,66.02,1.1m,True,True,True,completed,,0
run_109,direct_json_ir_no_translate,98.02,1.6m,True,True,True,completed,,0
run_110,direct_json_ir_no_translate,72.43,1.2m,False,False,False,law_compilation,law_compilation_failed,1
run_111,direct_json_ir_no_translate,93.61,1.6m,True,True,True,completed,,0
run_112,direct_json_ir_no_translate,72.42,1.2m,True,True,True,completed,,0
run_113,direct_json_ir_no_translate,39.52,39.5s,True,True,True,completed,,0
run_114,direct_json_ir_no_translate,40.89,40.9s,True,True,True,completed,,0
run_115,direct_json_ir_no_translate,44.17,44.2s,True,True,True,completed,,0
run_116,direct_json_ir_no_translate,37.79,37.8s,False,False,False,law_compilation,law_compilation_failed,1
run_117,direct_json_ir_no_translate,39.1,39.1s,False,False,False,law_compilation,law_compilation_failed,1
run_118,direct_json_ir_no_translate,65.46,1.1m,True,True,True,completed,,0
run_119,direct_json_ir_no_translate,47.32,47.3s,False,False,False,law_compilation,law_compilation_failed,1
run_120,direct_json_ir_no_translate,44.45,44.5s,True,True,True,completed,,0
run_201,direct_json_ir_no_translate,26.86,26.9s,True,True,True,completed,,0
run_202,direct_json_ir_no_translate,27.58,27.6s,True,True,True,completed,,0
run_203,direct_json_ir_no_translate,67.63,1.1m,True,True,True,completed,,0
run_204,direct_json_ir_no_translate,114.04,1.9m,False,True,True,completed_with_errors,,0
run_205,direct_json_ir_no_translate,66.81,1.1m,True,True,True,completed,,0
run_206,direct_json_ir_no_translate,39.23,39.2s,False,False,False,law_compilation,law_compilation_failed,1
run_207,direct_json_ir_no_translate,29.37,29.4s,True,True,True,completed,,0
run_208,direct_json_ir_no_translate,39.94,39.9s,True,True,True,completed,,0
